folder_path,shuffles_missing,model_size
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale0.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale-1.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-1.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale0.5,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-1.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.2,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale1.5,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale1.2,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale0.9,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-1.8,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.7,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-0.8,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-1.2,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale1.6,19,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_scale-1.4,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_scale-0.7,20,gemini
experiments/20260320_clothing_scalesweep_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_scale1.7,20,gemini
