dataset,arm,scale,model_scale,prompt,cum_regret@0_mean,cum_regret@0_std,cum_regret@1_mean,cum_regret@1_std,cum_regret@2_mean,cum_regret@2_std,cum_regret@3_mean,cum_regret@3_std,cum_regret@4_mean,cum_regret@4_std,cum_regret@5_mean,cum_regret@5_std,cum_regret@6_mean,cum_regret@6_std,cum_regret@7_mean,cum_regret@7_std
abandit,sent_mislead,low_scale,14B,actionhist,1.0,0.7071067811865476,2.0,1.4142135623730951,3.0,2.1213203435596424,4.0,2.8284271247461903,5.333333333333333,3.064129385141706,6.833333333333333,3.064129385141706,7.833333333333333,3.7712361663282534,8.833333333333334,4.4783429475148
abandit,sent_mislead,low_scale,14B,fullhist,1.0,0.7071067811865476,1.6666666666666667,0.6236095644623235,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
abandit,sent_mislead,low_scale,14B,summhist,1.0,0.7071067811865476,1.8333333333333333,0.8498365855987975,2.6666666666666665,1.0274023338281628,3.3333333333333335,1.178511301977579,3.6666666666666665,1.649915822768611,3.6666666666666665,1.649915822768611,3.6666666666666665,1.649915822768611,3.6666666666666665,1.649915822768611
abandit,sent_mislead,low_scale,8B,fullhist,1.0,0.0,2.1666666666666665,0.2357022603955158,2.8333333333333335,0.6236095644623235,3.6666666666666665,1.178511301977579,4.333333333333333,1.6499158227686108,5.0,2.1213203435596424,5.666666666666667,2.592724864350674,6.333333333333333,3.064129385141706
abandit,sent_mislead,low_scale,8B,summhist,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0
farm,alphanumeric,high_neg_scale,14B,actionhist,16.666666666666668,23.570226039551585,116.66666666666669,47.14045207910317,150.0,40.824829046386306,233.33333333333337,84.98365855987974,283.3333333333333,84.98365855987974,316.6666666666667,62.36095644623236,416.6666666666667,102.74023338281629,483.3333333333333,154.56030825826173
farm,alphanumeric,high_neg_scale,14B,fullhist,50.0,70.71067811865476,133.33333333333334,62.36095644623236,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,233.33333333333337,23.570226039551585,250.0,40.824829046386306,350.0,108.01234497346434
farm,alphanumeric,high_neg_scale,14B,pre-budget,100.0,70.71067811865476,133.33333333333334,62.36095644623236,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,266.6666666666667,94.28090415820634,283.3333333333333,84.98365855987974,300.0,70.71067811865476
farm,alphanumeric,high_neg_scale,14B,summhist,116.66666666666669,47.14045207910317,133.33333333333334,23.570226039551585,200.0,70.71067811865476,316.6666666666667,23.570226039551585,416.6666666666667,84.98365855987974,450.0,108.01234497346434,566.6666666666666,102.74023338281629,633.3333333333334,154.56030825826173
farm,alphanumeric,high_neg_scale,8B,actionhist,66.66666666666667,62.36095644623236,116.66666666666669,62.36095644623236,266.6666666666667,62.36095644623236,266.6666666666667,62.36095644623236,383.3333333333333,23.570226039551585,500.0,40.824829046386306,566.6666666666666,102.74023338281629,633.3333333333334,47.14045207910317
farm,alphanumeric,high_neg_scale,8B,fullhist,66.66666666666667,62.36095644623236,100.0,70.71067811865476,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,283.3333333333333,84.98365855987974,333.3333333333333,62.36095644623236,350.0,81.64965809277261
farm,alphanumeric,high_neg_scale,8B,pre-budget,66.66666666666667,62.36095644623236,100.0,70.71067811865476,200.0,0.0,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,266.6666666666667,94.28090415820634,266.6666666666667,94.28090415820634
farm,alphanumeric,high_neg_scale,8B,summhist,116.66666666666669,47.14045207910317,150.0,40.824829046386306,166.66666666666666,23.570226039551585,216.66666666666663,23.570226039551585,266.6666666666667,62.36095644623236,300.0,81.64965809277261,300.0,81.64965809277261,366.6666666666667,84.98365855987974
farm,alphanumeric,high_scale,14B,actionhist,100.0,70.71067811865476,133.33333333333334,102.74023338281629,183.33333333333337,164.9915822768611,216.66666666666663,209.49675149960893,300.0,244.94897427831785,333.3333333333333,205.48046676563257,466.6666666666667,209.4967514996089,583.3333333333334,192.93061504650376
farm,alphanumeric,high_scale,14B,fullhist,100.0,70.71067811865476,166.66666666666666,62.36095644623236,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0
farm,alphanumeric,high_scale,14B,pre-budget,100.0,70.71067811865476,166.66666666666666,62.36095644623236,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0,250.0,0.0
